nombres,apellidos,partido,comuna,comuna,comuna,cargo
MANUEL ANGEL,NAVARRO VEGA,PARTIDO COMUNISTA DE CHILE,CANELA,,,
WALDO ENRIQUE,CONTRERAS CORTES,INDEPENDIENTES,CANELA,,,ALCALDE
RUBEN ORLANDO,CORTES CAMPUSANO,INDEPENDIENTES,CANELA,,,
NESTOR,VALLE TAPIA,INDEPENDIENTES,CANELA,,,
JUAN RODRIGO,FUENTES FERNANDEZ,INDEPENDIENTES,COMBARBALA,,,
JUAN PABLO,ADONIS ALVAREZ,INDEPENDIENTES,COMBARBALA,,,
SOLERCIO,ROJAS AGUIRRE,INDEPENDIENTES,COMBARBALA,,,
RENAN,UGALDE MEZA,INDEPENDIENTES,COMBARBALA,,,
MARTA ANGELICA,CARVAJAL CORTES,INDEPENDIENTES,COMBARBALA,,,ALCALDE
JUAN CARLOS,ARAYA ARAYA,INDEPENDIENTES,COMBARBALA,,,
JUANA,SARMIENTO ACOSTA,INDEPENDIENTES,COMBARBALA,,,
ELIZABETH,SALINAS VALLE,INDEPENDIENTES,COMBARBALA,,,
OSCAR ALFONSO,COLLAO GUTIERREZ,INDEPENDIENTES,COQUIMBO,,,
HILARIO,VELASQUEZ OLAVE,PARTIDO SOCIAL CRISTIANO,COQUIMBO,,,
ALI,MANOUCHEHRI MOGHADAM KASHAN LOBOS,INDEPENDIENTES,COQUIMBO,,,ALCALDE
GUIDO ANDRE,HERNANDEZ TRUJILLO,INDEPENDIENTES,COQUIMBO,,,
ROSETTA,PARIS AVALOS,INDEPENDIENTES,COQUIMBO,,,
SERGIO ARNOLDO,ROJAS TAPIA,INDEPENDIENTES,COQUIMBO,,,
FELIPE,VELASQUEZ NAVEA,INDEPENDIENTES,COQUIMBO,,,
DENIS,CORTES AGUILERA,PARTIDO DEMOCRATA CRISTIANO,ILLAPEL,,,ALCALDE
HERMOSINA DE MERCEDES,MANQUEZ OLIVARES,PARTIDO DE LA GENTE,ILLAPEL,,,
LUIS,LEMUS ARACENA,INDEPENDIENTES,ILLAPEL,,,
FABIAN,OLIVARES HIDALGO,INDEPENDIENTES,ILLAPEL,,,
UBERLINDA,AQUEA BARRAZA,PARTIDO SOCIALISTA DE CHILE,LA HIGUERA,,,ALCALDE
DINKA,HERRERA SAAVEDRA,UNION DEMOCRATA INDEPENDIENTE,LA HIGUERA,,,
ROSITA,GUZMAN SASMAYA,INDEPENDIENTES,LA HIGUERA,,,
CARLOS,FLORES GONZALEZ,INDEPENDIENTES,LA HIGUERA,,,
ANA MARIA,ITURRALDE PEÑA,INDEPENDIENTES,LA SERENA,,,
ANDREA,GUZMAN HERRERA,INDEPENDIENTES,LA SERENA,,,
