nombres,apellidos,partido,comuna,comuna,comuna,cargo
NATACHA ODETTE,RIVAS MORALES,PARTIDO SOCIAL CRISTIANO,LOS MUERMOS,,,
CLAUDIO ANDRES,PEREZ BARROS,INDEPENDIENTES,LOS MUERMOS,,,
PATRICIA ELENA,RADA SALAZAR,FRENTE AMPLIO,LOS MUERMOS,,,
CLAUDIA ELENA,REYES LARENAS,PARTIDO REPUBLICANO DE CHILE,LOS MUERMOS,,,
ALEJANDRO,SANTANA TIRACHINI,RENOVACION NACIONAL,LOS MUERMOS,,,
NATACHA ODETTE,RIVAS MORALES,PARTIDO SOCIAL CRISTIANO,OSORNO,,,
CLAUDIO ANDRES,PEREZ BARROS,INDEPENDIENTES,OSORNO,,,
PATRICIA ELENA,RADA SALAZAR,FRENTE AMPLIO,OSORNO,,,
CLAUDIA ELENA,REYES LARENAS,PARTIDO REPUBLICANO DE CHILE,OSORNO,,,
ALEJANDRO,SANTANA TIRACHINI,RENOVACION NACIONAL,OSORNO,,,
NATACHA ODETTE,RIVAS MORALES,PARTIDO SOCIAL CRISTIANO,PUERTO OCTAY,,,
CLAUDIO ANDRES,PEREZ BARROS,INDEPENDIENTES,PUERTO OCTAY,,,
PATRICIA ELENA,RADA SALAZAR,FRENTE AMPLIO,PUERTO OCTAY,,,
CLAUDIA ELENA,REYES LARENAS,PARTIDO REPUBLICANO DE CHILE,PUERTO OCTAY,,,
ALEJANDRO,SANTANA TIRACHINI,RENOVACION NACIONAL,PUERTO OCTAY,,,
NATACHA ODETTE,RIVAS MORALES,PARTIDO SOCIAL CRISTIANO,PUERTO VARAS,,,
CLAUDIO ANDRES,PEREZ BARROS,INDEPENDIENTES,PUERTO VARAS,,,
PATRICIA ELENA,RADA SALAZAR,FRENTE AMPLIO,PUERTO VARAS,,,
CLAUDIA ELENA,REYES LARENAS,PARTIDO REPUBLICANO DE CHILE,PUERTO VARAS,,,
ALEJANDRO,SANTANA TIRACHINI,RENOVACION NACIONAL,PUERTO VARAS,,,
NATACHA ODETTE,RIVAS MORALES,PARTIDO SOCIAL CRISTIANO,PURRANQUE,,,
CLAUDIO ANDRES,PEREZ BARROS,INDEPENDIENTES,PURRANQUE,,,
PATRICIA ELENA,RADA SALAZAR,FRENTE AMPLIO,PURRANQUE,,,
CLAUDIA ELENA,REYES LARENAS,PARTIDO REPUBLICANO DE CHILE,PURRANQUE,,,
ALEJANDRO,SANTANA TIRACHINI,RENOVACION NACIONAL,PURRANQUE,,,
NATACHA ODETTE,RIVAS MORALES,PARTIDO SOCIAL CRISTIANO,PUYEHUE,,,
CLAUDIO ANDRES,PEREZ BARROS,INDEPENDIENTES,PUYEHUE,,,
PATRICIA ELENA,RADA SALAZAR,FRENTE AMPLIO,PUYEHUE,,,
CLAUDIA ELENA,REYES LARENAS,PARTIDO REPUBLICANO DE CHILE,PUYEHUE,,,
ALEJANDRO,SANTANA TIRACHINI,RENOVACION NACIONAL,PUYEHUE,,,
NATACHA ODETTE,RIVAS MORALES,PARTIDO SOCIAL CRISTIANO,RIO NEGRO,,,
CLAUDIO ANDRES,PEREZ BARROS,INDEPENDIENTES,RIO NEGRO,,,
PATRICIA ELENA,RADA SALAZAR,FRENTE AMPLIO,RIO NEGRO,,,
CLAUDIA ELENA,REYES LARENAS,PARTIDO REPUBLICANO DE CHILE,RIO NEGRO,,,
ALEJANDRO,SANTANA TIRACHINI,RENOVACION NACIONAL,RIO NEGRO,,,
NATACHA ODETTE,RIVAS MORALES,PARTIDO SOCIAL CRISTIANO,SAN JUAN DE LA COSTA,,,
CLAUDIO ANDRES,PEREZ BARROS,INDEPENDIENTES,SAN JUAN DE LA COSTA,,,
PATRICIA ELENA,RADA SALAZAR,FRENTE AMPLIO,SAN JUAN DE LA COSTA,,,
CLAUDIA ELENA,REYES LARENAS,PARTIDO REPUBLICANO DE CHILE,SAN JUAN DE LA COSTA,,,
ALEJANDRO,SANTANA TIRACHINI,RENOVACION NACIONAL,SAN JUAN DE LA COSTA,,,
NATACHA ODETTE,RIVAS MORALES,PARTIDO SOCIAL CRISTIANO,SAN PABLO,,,
CLAUDIO ANDRES,PEREZ BARROS,INDEPENDIENTES,SAN PABLO,,,
PATRICIA ELENA,RADA SALAZAR,FRENTE AMPLIO,SAN PABLO,,,
CLAUDIA ELENA,REYES LARENAS,PARTIDO REPUBLICANO DE CHILE,SAN PABLO,,,
ALEJANDRO,SANTANA TIRACHINI,RENOVACION NACIONAL,SAN PABLO,,,
NATACHA ODETTE,RIVAS MORALES,PARTIDO SOCIAL CRISTIANO,ANCUD,,,
CLAUDIO ANDRES,PEREZ BARROS,INDEPENDIENTES,ANCUD,,,
PATRICIA ELENA,RADA SALAZAR,FRENTE AMPLIO,ANCUD,,,
CLAUDIA ELENA,REYES LARENAS,PARTIDO REPUBLICANO DE CHILE,ANCUD,,,
ALEJANDRO,SANTANA TIRACHINI,RENOVACION NACIONAL,ANCUD,,,
NATACHA ODETTE,RIVAS MORALES,PARTIDO SOCIAL CRISTIANO,CALBUCO,,,
CLAUDIO ANDRES,PEREZ BARROS,INDEPENDIENTES,CALBUCO,,,
PATRICIA ELENA,RADA SALAZAR,FRENTE AMPLIO,CALBUCO,,,
CLAUDIA ELENA,REYES LARENAS,PARTIDO REPUBLICANO DE CHILE,CALBUCO,,,
ALEJANDRO,SANTANA TIRACHINI,RENOVACION NACIONAL,CALBUCO,,,
NATACHA ODETTE,RIVAS MORALES,PARTIDO SOCIAL CRISTIANO,CASTRO,,,
CLAUDIO ANDRES,PEREZ BARROS,INDEPENDIENTES,CASTRO,,,
PATRICIA ELENA,RADA SALAZAR,FRENTE AMPLIO,CASTRO,,,
CLAUDIA ELENA,REYES LARENAS,PARTIDO REPUBLICANO DE CHILE,CASTRO,,,
ALEJANDRO,SANTANA TIRACHINI,RENOVACION NACIONAL,CASTRO,,,
NATACHA ODETTE,RIVAS MORALES,PARTIDO SOCIAL CRISTIANO,CHAITEN,,,
CLAUDIO ANDRES,PEREZ BARROS,INDEPENDIENTES,CHAITEN,,,
PATRICIA ELENA,RADA SALAZAR,FRENTE AMPLIO,CHAITEN,,,
CLAUDIA ELENA,REYES LARENAS,PARTIDO REPUBLICANO DE CHILE,CHAITEN,,,
ALEJANDRO,SANTANA TIRACHINI,RENOVACION NACIONAL,CHAITEN,,,
NATACHA ODETTE,RIVAS MORALES,PARTIDO SOCIAL CRISTIANO,CHONCHI,,,
CLAUDIO ANDRES,PEREZ BARROS,INDEPENDIENTES,CHONCHI,,,
PATRICIA ELENA,RADA SALAZAR,FRENTE AMPLIO,CHONCHI,,,
CLAUDIA ELENA,REYES LARENAS,PARTIDO REPUBLICANO DE CHILE,CHONCHI,,,
ALEJANDRO,SANTANA TIRACHINI,RENOVACION NACIONAL,CHONCHI,,,
NATACHA ODETTE,RIVAS MORALES,PARTIDO SOCIAL CRISTIANO,COCHAMO,,,
CLAUDIO ANDRES,PEREZ BARROS,INDEPENDIENTES,COCHAMO,,,
PATRICIA ELENA,RADA SALAZAR,FRENTE AMPLIO,COCHAMO,,,
CLAUDIA ELENA,REYES LARENAS,PARTIDO REPUBLICANO DE CHILE,COCHAMO,,,
ALEJANDRO,SANTANA TIRACHINI,RENOVACION NACIONAL,COCHAMO,,,
NATACHA ODETTE,RIVAS MORALES,PARTIDO SOCIAL CRISTIANO,CURACO DE VELEZ,,,
CLAUDIO ANDRES,PEREZ BARROS,INDEPENDIENTES,CURACO DE VELEZ,,,
PATRICIA ELENA,RADA SALAZAR,FRENTE AMPLIO,CURACO DE VELEZ,,,
CLAUDIA ELENA,REYES LARENAS,PARTIDO REPUBLICANO DE CHILE,CURACO DE VELEZ,,,
ALEJANDRO,SANTANA TIRACHINI,RENOVACION NACIONAL,CURACO DE VELEZ,,,
NATACHA ODETTE,RIVAS MORALES,PARTIDO SOCIAL CRISTIANO,DALCAHUE,,,
CLAUDIO ANDRES,PEREZ BARROS,INDEPENDIENTES,DALCAHUE,,,
PATRICIA ELENA,RADA SALAZAR,FRENTE AMPLIO,DALCAHUE,,,
CLAUDIA ELENA,REYES LARENAS,PARTIDO REPUBLICANO DE CHILE,DALCAHUE,,,
ALEJANDRO,SANTANA TIRACHINI,RENOVACION NACIONAL,DALCAHUE,,,
NATACHA ODETTE,RIVAS MORALES,PARTIDO SOCIAL CRISTIANO,FUTALEUFU,,,
CLAUDIO ANDRES,PEREZ BARROS,INDEPENDIENTES,FUTALEUFU,,,
PATRICIA ELENA,RADA SALAZAR,FRENTE AMPLIO,FUTALEUFU,,,
CLAUDIA ELENA,REYES LARENAS,PARTIDO REPUBLICANO DE CHILE,FUTALEUFU,,,
ALEJANDRO,SANTANA TIRACHINI,RENOVACION NACIONAL,FUTALEUFU,,,
NATACHA ODETTE,RIVAS MORALES,PARTIDO SOCIAL CRISTIANO,HUALAIHUE,,,
CLAUDIO ANDRES,PEREZ BARROS,INDEPENDIENTES,HUALAIHUE,,,
PATRICIA ELENA,RADA SALAZAR,FRENTE AMPLIO,HUALAIHUE,,,
CLAUDIA ELENA,REYES LARENAS,PARTIDO REPUBLICANO DE CHILE,HUALAIHUE,,,
ALEJANDRO,SANTANA TIRACHINI,RENOVACION NACIONAL,HUALAIHUE,,,
NATACHA ODETTE,RIVAS MORALES,PARTIDO SOCIAL CRISTIANO,MAULLIN,,,
CLAUDIO ANDRES,PEREZ BARROS,INDEPENDIENTES,MAULLIN,,,
PATRICIA ELENA,RADA SALAZAR,FRENTE AMPLIO,MAULLIN,,,
CLAUDIA ELENA,REYES LARENAS,PARTIDO REPUBLICANO DE CHILE,MAULLIN,,,
ALEJANDRO,SANTANA TIRACHINI,RENOVACION NACIONAL,MAULLIN,,,
NATACHA ODETTE,RIVAS MORALES,PARTIDO SOCIAL CRISTIANO,PALENA,,,
CLAUDIO ANDRES,PEREZ BARROS,INDEPENDIENTES,PALENA,,,
PATRICIA ELENA,RADA SALAZAR,FRENTE AMPLIO,PALENA,,,
CLAUDIA ELENA,REYES LARENAS,PARTIDO REPUBLICANO DE CHILE,PALENA,,,
ALEJANDRO,SANTANA TIRACHINI,RENOVACION NACIONAL,PALENA,,,
NATACHA ODETTE,RIVAS MORALES,PARTIDO SOCIAL CRISTIANO,PUERTO MONTT,,,
CLAUDIO ANDRES,PEREZ BARROS,INDEPENDIENTES,PUERTO MONTT,,,
PATRICIA ELENA,RADA SALAZAR,FRENTE AMPLIO,PUERTO MONTT,,,
CLAUDIA ELENA,REYES LARENAS,PARTIDO REPUBLICANO DE CHILE,PUERTO MONTT,,,
ALEJANDRO,SANTANA TIRACHINI,RENOVACION NACIONAL,PUERTO MONTT,,,
NATACHA ODETTE,RIVAS MORALES,PARTIDO SOCIAL CRISTIANO,PUQUELDON,,,
CLAUDIO ANDRES,PEREZ BARROS,INDEPENDIENTES,PUQUELDON,,,
PATRICIA ELENA,RADA SALAZAR,FRENTE AMPLIO,PUQUELDON,,,
CLAUDIA ELENA,REYES LARENAS,PARTIDO REPUBLICANO DE CHILE,PUQUELDON,,,
ALEJANDRO,SANTANA TIRACHINI,RENOVACION NACIONAL,PUQUELDON,,,
NATACHA ODETTE,RIVAS MORALES,PARTIDO SOCIAL CRISTIANO,QUEILEN,,,
CLAUDIO ANDRES,PEREZ BARROS,INDEPENDIENTES,QUEILEN,,,
PATRICIA ELENA,RADA SALAZAR,FRENTE AMPLIO,QUEILEN,,,
CLAUDIA ELENA,REYES LARENAS,PARTIDO REPUBLICANO DE CHILE,QUEILEN,,,
ALEJANDRO,SANTANA TIRACHINI,RENOVACION NACIONAL,QUEILEN,,,
NATACHA ODETTE,RIVAS MORALES,PARTIDO SOCIAL CRISTIANO,QUELLON,,,
CLAUDIO ANDRES,PEREZ BARROS,INDEPENDIENTES,QUELLON,,,
PATRICIA ELENA,RADA SALAZAR,FRENTE AMPLIO,QUELLON,,,
CLAUDIA ELENA,REYES LARENAS,PARTIDO REPUBLICANO DE CHILE,QUELLON,,,
ALEJANDRO,SANTANA TIRACHINI,RENOVACION NACIONAL,QUELLON,,,
NATACHA ODETTE,RIVAS MORALES,PARTIDO SOCIAL CRISTIANO,QUEMCHI,,,
CLAUDIO ANDRES,PEREZ BARROS,INDEPENDIENTES,QUEMCHI,,,
PATRICIA ELENA,RADA SALAZAR,FRENTE AMPLIO,QUEMCHI,,,
CLAUDIA ELENA,REYES LARENAS,PARTIDO REPUBLICANO DE CHILE,QUEMCHI,,,
ALEJANDRO,SANTANA TIRACHINI,RENOVACION NACIONAL,QUEMCHI,,,
NATACHA ODETTE,RIVAS MORALES,PARTIDO SOCIAL CRISTIANO,QUINCHAO,,,
CLAUDIO ANDRES,PEREZ BARROS,INDEPENDIENTES,QUINCHAO,,,
PATRICIA ELENA,RADA SALAZAR,FRENTE AMPLIO,QUINCHAO,,,
CLAUDIA ELENA,REYES LARENAS,PARTIDO REPUBLICANO DE CHILE,QUINCHAO,,,
ALEJANDRO,SANTANA TIRACHINI,RENOVACION NACIONAL,QUINCHAO,,,
LISET NOELIA,QUILODRAN QUIÑINAO,PARTIDO SOCIAL CRISTIANO,AYSEN,,,
ANDREA,MACIAS PALMA,PARTIDO SOCIALISTA DE CHILE,AYSEN,,,
MARCELO,SANTANA VARGAS,UNION DEMOCRATA INDEPENDIENTE,AYSEN,,,
JORGE PATRICIO,ABELLO MOLL,INDEPENDIENTES,AYSEN,,,
LISET NOELIA,QUILODRAN QUIÑINAO,PARTIDO SOCIAL CRISTIANO,CHILE CHICO,,,
ANDREA,MACIAS PALMA,PARTIDO SOCIALISTA DE CHILE,CHILE CHICO,,,
MARCELO,SANTANA VARGAS,UNION DEMOCRATA INDEPENDIENTE,CHILE CHICO,,,
JORGE PATRICIO,ABELLO MOLL,INDEPENDIENTES,CHILE CHICO,,,
LISET NOELIA,QUILODRAN QUIÑINAO,PARTIDO SOCIAL CRISTIANO,CISNES,,,
ANDREA,MACIAS PALMA,PARTIDO SOCIALISTA DE CHILE,CISNES,,,
MARCELO,SANTANA VARGAS,UNION DEMOCRATA INDEPENDIENTE,CISNES,,,
JORGE PATRICIO,ABELLO MOLL,INDEPENDIENTES,CISNES,,,
LISET NOELIA,QUILODRAN QUIÑINAO,PARTIDO SOCIAL CRISTIANO,COCHRANE,,,
ANDREA,MACIAS PALMA,PARTIDO SOCIALISTA DE CHILE,COCHRANE,,,
MARCELO,SANTANA VARGAS,UNION DEMOCRATA INDEPENDIENTE,COCHRANE,,,
JORGE PATRICIO,ABELLO MOLL,INDEPENDIENTES,COCHRANE,,,
LISET NOELIA,QUILODRAN QUIÑINAO,PARTIDO SOCIAL CRISTIANO,COYHAIQUE,,,
ANDREA,MACIAS PALMA,PARTIDO SOCIALISTA DE CHILE,COYHAIQUE,,,
MARCELO,SANTANA VARGAS,UNION DEMOCRATA INDEPENDIENTE,COYHAIQUE,,,
JORGE PATRICIO,ABELLO MOLL,INDEPENDIENTES,COYHAIQUE,,,
LISET NOELIA,QUILODRAN QUIÑINAO,PARTIDO SOCIAL CRISTIANO,GUAITECAS,,,
ANDREA,MACIAS PALMA,PARTIDO SOCIALISTA DE CHILE,GUAITECAS,,,
MARCELO,SANTANA VARGAS,UNION DEMOCRATA INDEPENDIENTE,GUAITECAS,,,
JORGE PATRICIO,ABELLO MOLL,INDEPENDIENTES,GUAITECAS,,,
LISET NOELIA,QUILODRAN QUIÑINAO,PARTIDO SOCIAL CRISTIANO,LAGO VERDE,,,
ANDREA,MACIAS PALMA,PARTIDO SOCIALISTA DE CHILE,LAGO VERDE,,,
MARCELO,SANTANA VARGAS,UNION DEMOCRATA INDEPENDIENTE,LAGO VERDE,,,
JORGE PATRICIO,ABELLO MOLL,INDEPENDIENTES,LAGO VERDE,,,
LISET NOELIA,QUILODRAN QUIÑINAO,PARTIDO SOCIAL CRISTIANO,O'HIGGINS,,,
ANDREA,MACIAS PALMA,PARTIDO SOCIALISTA DE CHILE,O'HIGGINS,,,
MARCELO,SANTANA VARGAS,UNION DEMOCRATA INDEPENDIENTE,O'HIGGINS,,,
JORGE PATRICIO,ABELLO MOLL,INDEPENDIENTES,O'HIGGINS,,,
LISET NOELIA,QUILODRAN QUIÑINAO,PARTIDO SOCIAL CRISTIANO,RIO IBAÑEZ,,,
ANDREA,MACIAS PALMA,PARTIDO SOCIALISTA DE CHILE,RIO IBAÑEZ,,,
MARCELO,SANTANA VARGAS,UNION DEMOCRATA INDEPENDIENTE,RIO IBAÑEZ,,,
JORGE PATRICIO,ABELLO MOLL,INDEPENDIENTES,RIO IBAÑEZ,,,
LISET NOELIA,QUILODRAN QUIÑINAO,PARTIDO SOCIAL CRISTIANO,TORTEL,,,
ANDREA,MACIAS PALMA,PARTIDO SOCIALISTA DE CHILE,TORTEL,,,
MARCELO,SANTANA VARGAS,UNION DEMOCRATA INDEPENDIENTE,TORTEL,,,
JORGE PATRICIO,ABELLO MOLL,INDEPENDIENTES,TORTEL,,,
RAMON SEGUNDO,VARGAS GUERRERO,INDEPENDIENTES,ANTARTICA,,,
JORGE MAURICIO,FLIES AÑON,INDEPENDIENTES,ANTARTICA,,,
ALEJANDRO GABRIEL,RIQUELME DUCCI,PARTIDO REPUBLICANO DE CHILE,ANTARTICA,,,
DANIELA,ARECHETA BORQUEZ,EVOLUCION POLITICA,ANTARTICA,,,
JOSE RAUL,BARRIA BUSTAMANTE,INDEPENDIENTES,ANTARTICA,,,
RAMON SEGUNDO,VARGAS GUERRERO,INDEPENDIENTES,CABO DE HORNOS(EX-NAVARINO),,,
JORGE MAURICIO,FLIES AÑON,INDEPENDIENTES,CABO DE HORNOS(EX-NAVARINO),,,
ALEJANDRO GABRIEL,RIQUELME DUCCI,PARTIDO REPUBLICANO DE CHILE,CABO DE HORNOS(EX-NAVARINO),,,
DANIELA,ARECHETA BORQUEZ,EVOLUCION POLITICA,CABO DE HORNOS(EX-NAVARINO),,,
JOSE RAUL,BARRIA BUSTAMANTE,INDEPENDIENTES,CABO DE HORNOS(EX-NAVARINO),,,
RAMON SEGUNDO,VARGAS GUERRERO,INDEPENDIENTES,LAGUNA BLANCA,,,
JORGE MAURICIO,FLIES AÑON,INDEPENDIENTES,LAGUNA BLANCA,,,
ALEJANDRO GABRIEL,RIQUELME DUCCI,PARTIDO REPUBLICANO DE CHILE,LAGUNA BLANCA,,,
DANIELA,ARECHETA BORQUEZ,EVOLUCION POLITICA,LAGUNA BLANCA,,,
JOSE RAUL,BARRIA BUSTAMANTE,INDEPENDIENTES,LAGUNA BLANCA,,,
RAMON SEGUNDO,VARGAS GUERRERO,INDEPENDIENTES,NATALES,,,
JORGE MAURICIO,FLIES AÑON,INDEPENDIENTES,NATALES,,,
ALEJANDRO GABRIEL,RIQUELME DUCCI,PARTIDO REPUBLICANO DE CHILE,NATALES,,,
DANIELA,ARECHETA BORQUEZ,EVOLUCION POLITICA,NATALES,,,
JOSE RAUL,BARRIA BUSTAMANTE,INDEPENDIENTES,NATALES,,,
RAMON SEGUNDO,VARGAS GUERRERO,INDEPENDIENTES,PORVENIR,,,
JORGE MAURICIO,FLIES AÑON,INDEPENDIENTES,PORVENIR,,,
ALEJANDRO GABRIEL,RIQUELME DUCCI,PARTIDO REPUBLICANO DE CHILE,PORVENIR,,,
DANIELA,ARECHETA BORQUEZ,EVOLUCION POLITICA,PORVENIR,,,
JOSE RAUL,BARRIA BUSTAMANTE,INDEPENDIENTES,PORVENIR,,,
RAMON SEGUNDO,VARGAS GUERRERO,INDEPENDIENTES,PRIMAVERA,,,
JORGE MAURICIO,FLIES AÑON,INDEPENDIENTES,PRIMAVERA,,,
ALEJANDRO GABRIEL,RIQUELME DUCCI,PARTIDO REPUBLICANO DE CHILE,PRIMAVERA,,,
DANIELA,ARECHETA BORQUEZ,EVOLUCION POLITICA,PRIMAVERA,,,
JOSE RAUL,BARRIA BUSTAMANTE,INDEPENDIENTES,PRIMAVERA,,,
RAMON SEGUNDO,VARGAS GUERRERO,INDEPENDIENTES,PUNTA ARENAS,,,
JORGE MAURICIO,FLIES AÑON,INDEPENDIENTES,PUNTA ARENAS,,,
ALEJANDRO GABRIEL,RIQUELME DUCCI,PARTIDO REPUBLICANO DE CHILE,PUNTA ARENAS,,,
DANIELA,ARECHETA BORQUEZ,EVOLUCION POLITICA,PUNTA ARENAS,,,
JOSE RAUL,BARRIA BUSTAMANTE,INDEPENDIENTES,PUNTA ARENAS,,,
RAMON SEGUNDO,VARGAS GUERRERO,INDEPENDIENTES,RIO VERDE,,,
JORGE MAURICIO,FLIES AÑON,INDEPENDIENTES,RIO VERDE,,,
ALEJANDRO GABRIEL,RIQUELME DUCCI,PARTIDO REPUBLICANO DE CHILE,RIO VERDE,,,
DANIELA,ARECHETA BORQUEZ,EVOLUCION POLITICA,RIO VERDE,,,
JOSE RAUL,BARRIA BUSTAMANTE,INDEPENDIENTES,RIO VERDE,,,
RAMON SEGUNDO,VARGAS GUERRERO,INDEPENDIENTES,SAN GREGORIO,,,
JORGE MAURICIO,FLIES AÑON,INDEPENDIENTES,SAN GREGORIO,,,
ALEJANDRO GABRIEL,RIQUELME DUCCI,PARTIDO REPUBLICANO DE CHILE,SAN GREGORIO,,,
DANIELA,ARECHETA BORQUEZ,EVOLUCION POLITICA,SAN GREGORIO,,,
JOSE RAUL,BARRIA BUSTAMANTE,INDEPENDIENTES,SAN GREGORIO,,,
RAMON SEGUNDO,VARGAS GUERRERO,INDEPENDIENTES,TIMAUKEL,,,
JORGE MAURICIO,FLIES AÑON,INDEPENDIENTES,TIMAUKEL,,,
ALEJANDRO GABRIEL,RIQUELME DUCCI,PARTIDO REPUBLICANO DE CHILE,TIMAUKEL,,,
DANIELA,ARECHETA BORQUEZ,EVOLUCION POLITICA,TIMAUKEL,,,
JOSE RAUL,BARRIA BUSTAMANTE,INDEPENDIENTES,TIMAUKEL,,,
RAMON SEGUNDO,VARGAS GUERRERO,INDEPENDIENTES,TORRES DEL PAINE,,,
JORGE MAURICIO,FLIES AÑON,INDEPENDIENTES,TORRES DEL PAINE,,,
ALEJANDRO GABRIEL,RIQUELME DUCCI,PARTIDO REPUBLICANO DE CHILE,TORRES DEL PAINE,,,
DANIELA,ARECHETA BORQUEZ,EVOLUCION POLITICA,TORRES DEL PAINE,,,
JOSE RAUL,BARRIA BUSTAMANTE,INDEPENDIENTES,TORRES DEL PAINE,,,
CATALINA,VALENZUELA MAUREIRA,PARTIDO HUMANISTA,LA GRANJA,,,
RODRIGO ALEJANDRO,LOGAN SOTO,INDEPENDIENTES,LA GRANJA,,,
NATHALIE PAULETTE,JOIGNANT PACHECO,FEDERACION REGIONALISTA VERDE SOCIAL,LA GRANJA,,,
CLAUDIO RODRIGO,ROJAS FISCHER,PARTIDO DE LA GENTE,LA GRANJA,,,
CARLOS,PICHUANTE VERDUGO,PARTIDO ALIANZA VERDE POPULAR,LA GRANJA,,,
MACARENA,SANTELICES CAÑAS,INDEPENDIENTES,LA GRANJA,,,
FRANCISCO,ORREGO GUTIERREZ,RENOVACION NACIONAL,LA GRANJA,,,
CLAUDIO,ORREGO LARRAIN,INDEPENDIENTES,LA GRANJA,,,
CATALINA,VALENZUELA MAUREIRA,PARTIDO HUMANISTA,MACUL,,,
RODRIGO ALEJANDRO,LOGAN SOTO,INDEPENDIENTES,MACUL,,,
NATHALIE PAULETTE,JOIGNANT PACHECO,FEDERACION REGIONALISTA VERDE SOCIAL,MACUL,,,
CLAUDIO RODRIGO,ROJAS FISCHER,PARTIDO DE LA GENTE,MACUL,,,
CARLOS,PICHUANTE VERDUGO,PARTIDO ALIANZA VERDE POPULAR,MACUL,,,
MACARENA,SANTELICES CAÑAS,INDEPENDIENTES,MACUL,,,
FRANCISCO,ORREGO GUTIERREZ,RENOVACION NACIONAL,MACUL,,,
CLAUDIO,ORREGO LARRAIN,INDEPENDIENTES,MACUL,,,
CATALINA,VALENZUELA MAUREIRA,PARTIDO HUMANISTA,ÑUÑOA,,,
RODRIGO ALEJANDRO,LOGAN SOTO,INDEPENDIENTES,ÑUÑOA,,,
NATHALIE PAULETTE,JOIGNANT PACHECO,FEDERACION REGIONALISTA VERDE SOCIAL,ÑUÑOA,,,
CLAUDIO RODRIGO,ROJAS FISCHER,PARTIDO DE LA GENTE,ÑUÑOA,,,
CARLOS,PICHUANTE VERDUGO,PARTIDO ALIANZA VERDE POPULAR,ÑUÑOA,,,
MACARENA,SANTELICES CAÑAS,INDEPENDIENTES,ÑUÑOA,,,
FRANCISCO,ORREGO GUTIERREZ,RENOVACION NACIONAL,ÑUÑOA,,,
CLAUDIO,ORREGO LARRAIN,INDEPENDIENTES,ÑUÑOA,,,
CATALINA,VALENZUELA MAUREIRA,PARTIDO HUMANISTA,PROVIDENCIA,,,
RODRIGO ALEJANDRO,LOGAN SOTO,INDEPENDIENTES,PROVIDENCIA,,,
NATHALIE PAULETTE,JOIGNANT PACHECO,FEDERACION REGIONALISTA VERDE SOCIAL,PROVIDENCIA,,,
CLAUDIO RODRIGO,ROJAS FISCHER,PARTIDO DE LA GENTE,PROVIDENCIA,,,
CARLOS,PICHUANTE VERDUGO,PARTIDO ALIANZA VERDE POPULAR,PROVIDENCIA,,,
MACARENA,SANTELICES CAÑAS,INDEPENDIENTES,PROVIDENCIA,,,
FRANCISCO,ORREGO GUTIERREZ,RENOVACION NACIONAL,PROVIDENCIA,,,
CLAUDIO,ORREGO LARRAIN,INDEPENDIENTES,PROVIDENCIA,,,
CATALINA,VALENZUELA MAUREIRA,PARTIDO HUMANISTA,SAN JOAQUIN,,,
RODRIGO ALEJANDRO,LOGAN SOTO,INDEPENDIENTES,SAN JOAQUIN,,,
NATHALIE PAULETTE,JOIGNANT PACHECO,FEDERACION REGIONALISTA VERDE SOCIAL,SAN JOAQUIN,,,
CLAUDIO RODRIGO,ROJAS FISCHER,PARTIDO DE LA GENTE,SAN JOAQUIN,,,
CARLOS,PICHUANTE VERDUGO,PARTIDO ALIANZA VERDE POPULAR,SAN JOAQUIN,,,
MACARENA,SANTELICES CAÑAS,INDEPENDIENTES,SAN JOAQUIN,,,
FRANCISCO,ORREGO GUTIERREZ,RENOVACION NACIONAL,SAN JOAQUIN,,,
CLAUDIO,ORREGO LARRAIN,INDEPENDIENTES,SAN JOAQUIN,,,
CATALINA,VALENZUELA MAUREIRA,PARTIDO HUMANISTA,SANTIAGO,,,
RODRIGO ALEJANDRO,LOGAN SOTO,INDEPENDIENTES,SANTIAGO,,,
NATHALIE PAULETTE,JOIGNANT PACHECO,FEDERACION REGIONALISTA VERDE SOCIAL,SANTIAGO,,,
CLAUDIO RODRIGO,ROJAS FISCHER,PARTIDO DE LA GENTE,SANTIAGO,,,
CARLOS,PICHUANTE VERDUGO,PARTIDO ALIANZA VERDE POPULAR,SANTIAGO,,,
MACARENA,SANTELICES CAÑAS,INDEPENDIENTES,SANTIAGO,,,
FRANCISCO,ORREGO GUTIERREZ,RENOVACION NACIONAL,SANTIAGO,,,
CLAUDIO,ORREGO LARRAIN,INDEPENDIENTES,SANTIAGO,,,
CATALINA,VALENZUELA MAUREIRA,PARTIDO HUMANISTA,LA REINA,,,
RODRIGO ALEJANDRO,LOGAN SOTO,INDEPENDIENTES,LA REINA,,,
NATHALIE PAULETTE,JOIGNANT PACHECO,FEDERACION REGIONALISTA VERDE SOCIAL,LA REINA,,,
CLAUDIO RODRIGO,ROJAS FISCHER,PARTIDO DE LA GENTE,LA REINA,,,
CARLOS,PICHUANTE VERDUGO,PARTIDO ALIANZA VERDE POPULAR,LA REINA,,,
MACARENA,SANTELICES CAÑAS,INDEPENDIENTES,LA REINA,,,
FRANCISCO,ORREGO GUTIERREZ,RENOVACION NACIONAL,LA REINA,,,
CLAUDIO,ORREGO LARRAIN,INDEPENDIENTES,LA REINA,,,
