rut,nombres,apellidos,cargo,comuna,partido
,Gustavo,Toro Quintana,Alcalde,San Ramon,Partido Democrata Cristiano
,Marcela,Chamorro Macias,Alcalde,Alhue,Independientes
,Miguel,Araya Lobos,Alcalde,Buin,Union Democrata Independiente
,Hortensia,Mora Catalan,Alcalde,Calera De Tango,Union Democrata Independiente
,Christian,Hernandez Villanueva,Alcalde,Curacavi,Independientes
,Zandra Sofia,Maulen Jofre,Alcalde,El Monte,Independientes
,Juan Pablo,Olave Cambara,Alcalde,Isla De Maipo,Independientes
,Jessica,Mualim Fajuri,Alcalde,Maria Pinto,Renovacion Nacional
,Paula,Garate Rojas,Alcalde,Melipilla,Union Democrata Independiente
,Felipe,Muñoz Heredia,Alcalde,Padre Hurtado,Partido Socialista De Chile
,Rodrigo,Contreras Gutierrez,Alcalde,Paine,Union Democrata Independiente
,Rodrigo,Cornejo Inostroza,Alcalde,Peñaflor,Union Democrata Independiente
,Christopher Antonio,White Bahamondes,Alcalde,San Bernardo,Partido Socialista De Chile
,Manuel,Devia Vilches,Alcalde,San Pedro,Independientes
,Sebastian Enrique,Rosas Guerrero,Alcalde,Talagante,Independientes
,Johnny,Yañez Diaz,Alcalde,Cerrillos,Independientes
,Isabel,Valenzuela Ahumada,Alcalde,Colina,Union Democrata Independiente
,Felipe Eduardo,Muñoz Vallejos,Alcalde,Estacion Central,Independientes
,Jonathan,Opazo Carrasco,Alcalde,Lampa,Independientes
,Tomas,Vodanovic Escudero,Alcalde,Maipu,Frente Amplio
,Italo Andres,Bravo Lizana,Alcalde,Pudahuel,Independientes
,Paulina Rebeca,Bobadilla Navarrete,Alcalde,Quilicura,Independientes
,Cesar Eugenio,Mena Retamal,Alcalde,Tiltil,Independientes
,Mauro,Tamayo Rozas,Alcalde,Cerro Navia,Independientes
,Rene,De La Vega Fuentes,Alcalde,Conchali,Independientes
,Maximiliano,Luksic Lederer,Alcalde,Huechuraba,Independientes
,Agustin,Iglesias Muñoz,Alcalde,Independencia,Independientes
,Maximiliano,Rios Galleguillos,Alcalde,Lo Prado,Partido Por La Democracia
,Karina Andrea,Delfino Mussa,Alcalde,Quinta Normal,Partido Socialista De Chile
,Fares Manuel,Jadue Leiva,Alcalde,Recoleta,Partido Comunista De Chile
,Claudio Nicolas,Castro Salas,Alcalde,Renca,Independientes
